comment,,,,,,,,,,,,,,,,,Used same g0 as from Weaver2023,,,,,,,,,,,,,,,
g0/kappa,,7.57E-06,2.12E-04,1.55E-04,1.16E-05,2.24E-04,6.60E-05,1.97E-04,2.71E-05,7.13E-05,2.61E-04,1.68E-04,3.74E-04,1.06E-04,2.47E-06,2.08E-04,,,2.24E-05,2.68E-06,,1.00E-06,6.10E-08,1.54E-06,5.42E-07,2.12E-06,2.49E-06,2.99E-06,,,,
g0^2/kappai/kappa,,1.85E-10,5.78E-08,3.37E-08,1.58E-10,1.44E-07,1.28E-08,5.95E-08,1.43E-09,1.38E-08,1.37E-07,7.21E-08,2.80E-07,4.20E-08,1.29E-11,8.63E-08,,,2.40E-09,1.44E-11,,1.50E-12,1.74E-14,3.08E-12,1.76E-12,8.47E-12,9.73E-12,1.58E-11,,,,
eta fiber to chip,,,,,,0.33,0.65,,,,,,~ 0.5,,,,,,1,1,,0.1,0.2,0.05606060606,0.1,1,,0.088,,,,
added noise,,,,,,,,,,,,,2,6.2,,,,,3.2,,,,,,,,,,,,,
heralding rate,,,,,,,,,,,,,34,,,0.14,,,,,,,,,,,,,,,,
eta internal,,6.54E-03,--,~ 0.01,7.01E-04,7.18E-02,2.57E-02,,1.00E-03,,,,6.00E-02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOM V pi,,,0.7,,0.77,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,
Red or blue,,,,,Blue,,Both,,,,,,,,,,,,,,,,,,,,,,,,,
double check?,,Y,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
measured C0,,,,,,0.006178571429,,,,,,,,,,,,,,,,,,,,,,,,,,
P MW,,,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndot in,,,6.22E+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N phon,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,For estimating eta_mwwg2mechmode:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta GC (assumed),,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta O,,6.91E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,3.41E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omegam,,23750420400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nc,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,kappa/omegamu,6.56E-01,
Ndot in pump,,5.80E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,kappatot (Hz),1.21E+09,
P pump,,1.19E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,g0 (Hz),7.00E+04,
P pump actual,,5.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,P mu,7.24E-06,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ndot mu,5.91E+18,
eta e->o,,1.96E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.518,
eta o->e,,9.00E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,old V pi,0.02402831522,5.01E-03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gammamu (Hz),8.65E+03,
Check 20190828,,Done,Done,Done,Done,Done,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omegam,,2.38E+10,1.52E+10,1.16E+10,2.06E+10,1.72E+10,1.16E+10,,,,,,,,,,,,,,,,,,,,,6.66E+11,,,,
E bit slow,,5.73E-11,3.03E-08,7.24E-10,2.38E-14,2.53E-08,2.09E-14,,,,,,,,,,,,,,,,,,,,,2.35E-12,,,,
E bit fJ,,5.73E+04,3.03E+07,7.24E+05,2.38E+01,2.53E+07,2.09E+01,,,,,,,,,,,,,,,,,,,,,2.35E+03,,,,
E bit fast,,7.08E-12,1.32E-08,8.14E-09,5.66E-11,1.13E-08,9.73E-14,,,,,,,,,,,,,,,,,,,,,1.31E-06,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lambda o,,1.52E-06,1.55E-06,1.53E-06,1.57E-06,,1.54E-06,,,,,,,,,,,,,,,,,,,,,,,,,
omegao,,1.24E+15,1.22E+15,1.23E+15,1.20E+15,1.22082E+15,1.22E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,,,1.74412E+15,1.21526E+15,,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,1.21526E+15,,,,
E qubit,,1.34E-06,8.30E-03,1.89E-04,7.84E-09,9.66E-04,3.47E-09,4.89E-01,2.38E-10,8.44E-09,5.68E-13,2.03E-07,6.29E-13,1.11E-12,2.70E-01,1.11E-13,,,6.33E-11,8.91E-02,,8.66E-08,4.12E-06,1.76E-07,3.28E-08,2.26E-08,2.60E-08,1.86E-08,,,,
E qubit nJ,,1.34E+03,8.30E+06,1.89E+05,7.84E+00,9.66E+05,3.47E+00,4.89E+08,2.38E-01,8.44E+00,5.68E-04,2.03E+02,6.29E-04,1.11E-03,2.70E+08,1.11E-04,,,6.33E-02,8.91E+07,,8.66E+01,4.12E+03,1.76E+02,3.28E+01,2.26E+01,2.60E+01,1.86E+01,0,0,,
Cooling limited rate (Hz),,7.49E+00,1.20E-03,5.29E-02,1.28E+03,1.03E-02,2.88E+03,2.04E-05,4.21E+04,1.18E+03,1.76E+07,4.93E+01,1.59E+07,9.01E+06,3.70E-05,9.00E+07,,,1.58E+05,1.12E-04,#DIV/0!,1.15E+02,2.43E+00,5.67E+01,3.05E+02,4.43E+02,3.84E+02,5.39E+06,,,,
kappa/g0,,1.32E+05,4.72E+03,6.47E+03,8.64E+04,4.46E+03,1.52E+04,,,,,,17328.57143,,,,,,,,,,,,,,,,,,,
2Z0 hbar omegamu,,2.50E-22,1.61E-22,1.22E-22,2.17E-22,1.82E-22,1.23E-22,,,,,,1.23E-22,,,,,,,,,,,,,,,,,,,
gamma^2/4/gammamu,,1.64E+11,3.64E+16,1.78E+14,4.73E+07,3.47E+15,1.22E+10,,,,,,2.77E+09,,,,,,,,,,,,,,,,,,,
V pi,,8.48E-01,1.14E+01,9.54E-01,8.75E-03,3.54E+00,1.85E-02,,,,,,0.01009826826,,,,,,,,,,,,,,,,,,,
V pi old,,2.11E-01,5.33E+00,2.26E+00,3.02E-01,1.68E+00,2.83E-02,,,,,,1.54E-02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check E again 20190908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbar omegam,,2.49E-24,1.60E-24,1.21E-24,2.16E-24,1.81E-24,1.22E-24,,,,,,,,,,,,,,,,,,,,,,,,,
kappa/g0,,1.32E+05,4.72E+03,6.47E+03,8.64E+04,4.46E+03,1.52E+04,,,,,,,,,,,,,,,,,,,,,,,,,
omegam/g0,,3.29E+04,2.20E+03,1.53E+04,2.98E+06,2.11E+03,2.64E+04,,,,,,,,,,,,,,,,,,,,,,,,,
E bit slow,,5.70E-11,3.02E-08,,,2.52E-08,,,,,,,,,,,,,,,,,,,,,,,,,,
E bit fast,,,,8.11E-09,5.63E-11,,9.69E-14,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbar omegao,,1.30E-19,1.28E-19,1.29E-19,1.26E-19,1.28E-19,1.28E-19,,,,,,,,,,,,,,,,,,,,,,,,,
kappa kappai/g0^2,,5.40E+09,1.73E+07,2.97E+07,6.34E+09,6.97E+06,7.10E+07,,,,,,,,,,,,,,,,,,,,,,,,,
E qubit,,1.33E-06,8.26E-03,1.88E-04,7.81E-09,9.62E-04,3.45E-09,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20190912, correct E bit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow,,1.43E-11,7.54E-09,,,6.31E-09,,,,,,,,,,,,,,,,,,,,,,,,,,
fast,,,,2.03E-09,1.41E-11,,9.69E-14,,,,,,,,,,,,,,,,,,,,,,,,,
